accessibility	Design, implement, and audit inclusive digital products using WCAG 2.2 Level AA standards.
agent-architecture-audit	Full-stack diagnostic for agent and LLM applications.
agent-eval	Head-to-head comparison of coding agents (Claude Code, Aider, Codex, etc.) on custom tasks with pass rate, cost, time, and consistency metrics
agent-harness-construction	Design and optimize AI agent action spaces, tool definitions, and observation formatting for higher completion rates.
agent-introspection-debugging	Structured self-debugging workflow for AI agent failures using capture, diagnosis, contained recovery, and introspection reports.
agent-payment-x402	Add x402 payment execution to AI agents with per-task budgets, spending controls, and non-custodial wallets.
agent-self-evaluation	Use after completing any non-trivial task.
agent-sort	Build an evidence-backed ECC install plan for a specific repo by sorting skills, commands, rules, hooks, and extras into DAILY vs LIBRARY buckets using parallel
agentic-engineering	Operate as an agentic engineer using eval-first execution, decomposition, and cost-aware model routing.
agentic-os	Build persistent multi-agent operating systems on Claude Code.
ai-first-engineering	Engineering operating model for teams where AI agents generate a large share of implementation output.
ai-regression-testing	Regression testing strategies for AI-assisted development.
android-clean-architecture	Clean Architecture patterns for Android and Kotlin Multiplatform projects — module structure, dependency rules, UseCases, Repositories, and data layer patterns.
angular-developer	Generates Angular code and provides architectural guidance.
api-connector-builder	Build a new API connector or provider by matching the target repo's existing integration pattern exactly.
api-design	REST API design patterns including resource naming, status codes, pagination, filtering, error responses, versioning, and rate limiting for production APIs.
architecture-decision-records	Capture architectural decisions made during Claude Code sessions as structured ADRs.
article-writing	Write articles, guides, blog posts, tutorials, newsletter issues, and other long-form content in a distinctive voice derived from supplied examples or brand gui
automation-audit-ops	Evidence-first automation inventory and overlap audit workflow for ECC.
autonomous-agent-harness	Transform Claude Code into a fully autonomous agent system with persistent memory, scheduled operations, computer use, and task queuing.
autonomous-loops	Patterns and architectures for autonomous Claude Code loops — from simple sequential pipelines to RFC-driven multi-agent DAG systems.
backend-patterns	Backend architecture patterns, API design, database optimization, and server-side best practices for Node.js, Express, and Next.js API routes.
benchmark	Use this skill to measure performance baselines, detect regressions before/after PRs, and compare stack alternatives.
